windowSizeObjectUse,thresholdMinDistanceRFID,thresholdMaxDistanceRFID,windowSizeHAR,cohenKappa
8000,30,200,8000,0.16459851716538487
8000,30,225,8000,0.16459851716538487
8000,30,250,8000,0.16459851716538487
6000,20,150,7500,0.16458954329100534
6000,20,175,7500,0.16458954329100534
6000,20,200,7500,0.16458954329100534
6000,20,225,7500,0.16458954329100534
6000,20,250,7500,0.16458954329100534
9000,35,200,7000,0.16457492527938605
9000,35,225,7000,0.16457492527938605
9000,35,250,7000,0.16457492527938605
9000,30,200,9000,0.16457157671587905
9000,30,225,9000,0.16457157671587905
9000,30,250,9000,0.16457157671587905
7000,25,150,6500,0.1644146538350381
7000,25,175,6500,0.1644146538350381
7000,25,200,6500,0.1644146538350381
7000,25,225,6500,0.1644146538350381
7000,25,250,6500,0.1644146538350381
7000,25,150,8000,0.16437271416370952
7000,25,175,8000,0.16437271416370952
7000,25,200,8000,0.16437271416370952
7000,25,225,8000,0.16437271416370952
7000,25,250,8000,0.16437271416370952
6000,20,150,7000,0.16436702960409044
6000,20,175,7000,0.16436702960409044
6000,20,200,7000,0.16436702960409044
6000,20,225,7000,0.16436702960409044
6000,20,250,7000,0.16436702960409044
9000,35,200,6000,0.16432630821928873
9000,35,225,6000,0.16432630821928873
9000,35,250,6000,0.16432630821928873
6000,20,150,8000,0.1642931675233118
6000,20,175,8000,0.1642931675233118
6000,20,200,8000,0.1642931675233118
6000,20,225,8000,0.1642931675233118
6000,20,250,8000,0.1642931675233118
9000,35,200,7500,0.1642757788808379
9000,35,225,7500,0.1642757788808379
9000,35,250,7500,0.1642757788808379
6000,20,150,6500,0.1639958572639111
6000,20,175,6500,0.1639958572639111
6000,20,200,6500,0.1639958572639111
6000,20,225,6500,0.1639958572639111
6000,20,250,6500,0.1639958572639111
7000,25,150,6000,0.16386121293663902
7000,25,175,6000,0.16386121293663902
7000,25,200,6000,0.16386121293663902
7000,25,225,6000,0.16386121293663902
7000,25,250,6000,0.16386121293663902
9000,35,200,8000,0.16382776746152145
9000,35,225,8000,0.16382776746152145
9000,35,250,8000,0.16382776746152145
8000,30,175,8500,0.16363746480396207
8000,30,200,8500,0.16363746480396207
8000,30,225,8500,0.16363746480396207
8000,30,250,8500,0.16363746480396207
6000,20,150,6000,0.1634384800874767
6000,20,175,6000,0.1634384800874767
6000,20,200,6000,0.1634384800874767
6000,20,225,6000,0.1634384800874767
6000,20,250,6000,0.1634384800874767
7000,25,150,8500,0.16341158863911742
7000,25,175,8500,0.16341158863911742
7000,25,200,8500,0.16341158863911742
7000,25,225,8500,0.16341158863911742
7000,25,250,8500,0.16341158863911742
6000,20,150,8500,0.16333106587048615
6000,20,175,8500,0.16333106587048615
6000,20,200,8500,0.16333106587048615
6000,20,225,8500,0.16333106587048615
6000,20,250,8500,0.16333106587048615
6500,25,150,7500,0.1631533767802202
6500,25,175,7500,0.1631533767802202
6500,25,200,7500,0.1631533767802202
6500,25,225,7500,0.1631533767802202
6500,25,250,7500,0.1631533767802202
6500,25,150,7000,0.16293012011565616
6500,25,175,7000,0.16293012011565616
6500,25,200,7000,0.16293012011565616
6500,25,225,7000,0.16293012011565616
6500,25,250,7000,0.16293012011565616
9000,35,200,8500,0.16286694034131355
9000,35,225,8500,0.16286694034131355
9000,35,250,8500,0.16286694034131355
6500,25,150,8000,0.162856729500065
6500,25,175,8000,0.162856729500065
6500,25,200,8000,0.162856729500065
6500,25,225,8000,0.162856729500065
6500,25,250,8000,0.162856729500065
7500,30,150,7000,0.16273125103772915
7500,30,175,7000,0.16273125103772915
7500,30,200,7000,0.16273125103772915
7500,30,225,7000,0.16273125103772915
7500,30,250,7000,0.16273125103772915
7500,30,150,7500,0.16261829276343975
7500,30,175,7500,0.16261829276343975
7500,30,200,7500,0.16261829276343975
7500,30,225,7500,0.16261829276343975
7500,30,250,7500,0.16261829276343975
7500,25,150,9000,0.1625884663363076
7500,25,175,9000,0.1625884663363076
7500,25,200,9000,0.1625884663363076
7500,25,225,9000,0.1625884663363076
7500,25,250,9000,0.1625884663363076
6500,25,150,6500,0.16255806763436273
6500,25,175,6500,0.16255806763436273
6500,25,200,6500,0.16255806763436273
6500,25,225,6500,0.16255806763436273
6500,25,250,6500,0.16255806763436273
8500,35,175,7000,0.16247121827542496
8500,35,200,7000,0.16247121827542496
8500,35,225,7000,0.16247121827542496
8500,35,250,7000,0.16247121827542496
8500,35,175,6500,0.16243685194340068
8500,35,200,6500,0.16243685194340068
8500,35,225,6500,0.16243685194340068
8500,35,250,6500,0.16243685194340068
6500,20,150,9000,0.16236174711218326
6500,20,175,9000,0.16236174711218326
6500,20,200,9000,0.16236174711218326
6500,20,225,9000,0.16236174711218326
6500,20,250,9000,0.16236174711218326
7500,30,150,6500,0.162360766728352
7500,30,175,6500,0.162360766728352
7500,30,200,6500,0.162360766728352
7500,30,225,6500,0.162360766728352
7500,30,250,6500,0.162360766728352
8500,30,175,9000,0.16234626869814422
8500,30,200,9000,0.16234626869814422
8500,30,225,9000,0.16234626869814422
8500,30,250,9000,0.16234626869814422
7500,30,150,8000,0.16232059431292392
7500,30,175,8000,0.16232059431292392
7500,30,200,8000,0.16232059431292392
7500,30,225,8000,0.16232059431292392
7500,30,250,8000,0.16232059431292392
9000,35,175,6500,0.1622359468411647
8500,35,175,7500,0.16202233651203643
8500,35,200,7500,0.16202233651203643
8500,35,225,7500,0.16202233651203643
8500,35,250,7500,0.16202233651203643
6500,25,150,6000,0.1619993683755307
6500,25,175,6000,0.1619993683755307
6500,25,200,6000,0.1619993683755307
6500,25,225,6000,0.1619993683755307
6500,25,250,6000,0.1619993683755307
9000,30,175,9000,0.16197010536633177
9000,35,175,7000,0.16193876272919192
6500,25,150,8500,0.16189321183456037
6500,25,175,8500,0.16189321183456037
6500,25,200,8500,0.16189321183456037
6500,25,225,8500,0.16189321183456037
6500,25,250,8500,0.16189321183456037
8500,35,175,6000,0.1618838136568423
8500,35,200,6000,0.1618838136568423
8500,35,225,6000,0.1618838136568423
8500,35,250,6000,0.1618838136568423
5500,20,150,8000,0.16182405437571432
5500,20,175,8000,0.16182405437571432
5500,20,200,8000,0.16182405437571432
5500,20,225,8000,0.16182405437571432
5500,20,250,8000,0.16182405437571432
7500,30,150,6000,0.16180442509537618
7500,30,175,6000,0.16180442509537618
